time,"Einspritzdruck, Ist","Schneckenvolumen, Ist","Auswerferweg, Ist","Einspritzstrom, Ist","Werkzeuggeschwindigkeit, Ist","Auswerfergeschwindigkeit, Ist","Werkzeugkraft, Ist","Werkzeugweg, Ist","Druckmesssystem 3, Ist","Temperaturmesssystem 5, Ist",id
10.1,-1.69,18.5,0.09,0.0,0.0,-32.96,0.0,300.09,-0.64,31.3,1
10.15,-1.79,18.5,0.06,0.0,0.0,-0.31,0.0,300.09,-0.64,31.2,1
10.2,-1.79,18.5,0.07,0.0,0.0,0.0,0.0,300.09,-0.64,31.1,1
10.25,-1.89,18.5,0.07,0.0,0.0,-0.61,0.0,300.09,-0.64,31.1,1
10.3,-1.79,18.5,0.08,0.0,0.0,0.31,0.0,300.09,-0.64,31.2,1
10.35,-1.79,18.5,0.07,0.0,0.0,-0.61,0.0,300.09,-0.64,31.4,1
10.4,-1.89,18.5,0.08,0.0,0.0,0.31,0.0,300.09,-0.64,31.3,1
10.45,-1.89,18.5,0.08,0.0,0.0,-0.31,-0.11,300.09,-0.64,31.2,1
10.5,-1.79,18.5,0.07,0.0,0.0,0.31,0.0,300.09,-0.64,31.4,1
10.55,-1.89,18.5,0.08,0.0,0.0,-0.31,0.0,300.09,-0.64,31.2,1
10.6,-1.79,18.5,0.08,0.0,0.0,0.0,0.0,300.09,-0.64,31.4,1
10.65,-1.79,18.5,0.07,0.0,0.0,-0.31,0.0,300.09,-0.64,31.3,1
10.7,-1.79,18.5,0.08,0.0,0.0,0.0,0.0,300.09,-0.64,31.3,1
0.0,-0.5,18.5,-0.03,0.0,0.0,-0.61,119.38,-0.02,0.0,31.3,2
0.05,34.52,18.19,-0.04,10.6,-0.95,0.31,119.05,-0.02,0.0,31.3,2
0.1,51.73,17.6,-0.04,11.9,0.0,-0.61,118.72,-0.04,0.0,31.4,2
0.15,57.6,17.0,-0.04,11.9,0.0,0.31,118.5,-0.02,0.0,31.4,2
0.2,112.21,16.41,-0.02,11.9,0.0,0.61,118.5,-0.02,0.0,31.3,2
0.25,125.54,15.81,0.04,11.93,0.95,0.92,118.39,-0.04,0.0,31.3,2
0.3,127.33,15.21,0.05,11.93,0.0,0.31,118.39,-0.02,0.0,31.3,2
0.35,130.41,14.61,0.05,11.9,0.0,0.31,118.17,-0.02,0.0,31.4,2
0.4,133.0,14.02,0.09,11.93,0.0,2.14,118.28,-0.02,0.0,31.3,2
0.45,136.28,13.42,0.12,11.93,0.0,-0.31,118.06,-0.02,0.11,31.3,2
0.5,147.62,12.82,0.12,11.93,0.0,0.61,118.06,-0.02,0.11,31.2,2
0.55,165.53,12.23,0.13,11.93,0.0,0.0,117.95,-0.02,0.11,31.3,2
0.6,177.46,11.63,0.12,11.93,0.0,0.0,117.84,-0.02,0.21,31.1,2
0.65,202.83,11.03,0.13,11.93,0.0,0.31,117.95,-0.02,0.21,31.4,2
0.7,307.78,10.44,0.12,11.93,0.0,0.31,118.06,-0.02,0.11,31.4,2
0.75,366.37,9.84,0.13,11.93,0.0,0.31,117.95,-0.02,0.11,31.4,2
0.8,389.44,9.24,0.13,11.93,0.0,0.0,118.06,-0.02,0.21,31.3,2
0.85,404.37,8.64,0.11,11.93,0.0,-0.31,117.95,-0.02,0.21,31.4,2
0.9,409.94,8.05,0.13,11.9,0.0,0.0,118.06,-0.02,0.21,31.2,2
0.95,417.0,7.45,0.12,11.93,0.0,0.0,117.95,-0.02,0.32,31.5,2
1.0,426.25,6.85,0.12,11.9,0.0,-0.61,118.06,-0.02,0.32,31.3,2
1.05,441.47,6.26,0.12,11.9,0.0,0.0,117.84,-0.02,0.32,31.3,2
1.1,461.76,5.66,0.12,11.9,0.0,0.61,117.95,-0.02,0.43,31.3,2
1.15,239.63,5.67,0.12,-13.35,0.0,0.61,117.73,-0.02,0.43,31.2,2
1.2,188.8,5.82,0.12,2.26,0.0,0.31,117.84,-0.02,0.32,31.3,2
1.25,132.1,5.84,0.12,-3.05,0.0,0.31,117.84,-0.02,0.32,31.5,2
1.3,-12.73,6.51,0.02,-10.39,0.0,-4.27,117.62,-0.02,0.32,31.3,2
1.35,0.99,6.76,-0.02,-3.62,0.0,-1.22,117.28,-0.02,0.32,31.1,2
1.4,9.65,6.85,-0.03,-1.45,0.0,-0.31,117.5,-0.02,0.21,31.4,2
1.45,10.35,6.88,-0.01,-0.12,0.0,0.61,117.17,-0.02,0.21,31.2,2
1.5,10.54,6.88,0.01,0.0,0.0,0.61,117.17,-0.02,0.21,31.4,2
1.55,14.62,6.88,0.02,0.0,0.0,-0.31,117.06,-0.02,0.11,31.2,2
1.6,33.52,6.9,0.02,-0.75,0.0,-0.31,117.06,-0.02,0.11,31.3,2
1.65,29.15,7.04,0.02,-3.56,0.0,0.61,117.06,-0.02,0.11,31.4,2
1.7,19.2,7.25,0.02,-4.17,0.0,-0.31,117.17,-0.02,0.11,31.2,2
1.75,16.91,7.43,0.04,-3.41,0.0,0.31,117.28,-0.02,0.0,31.3,2
1.8,19.3,7.59,0.05,-2.96,0.0,0.31,117.28,-0.02,0.0,31.2,2
1.85,21.09,7.74,0.05,-2.99,0.0,0.31,117.28,-0.02,0.0,31.3,2
1.9,21.49,7.89,0.12,-3.23,0.0,0.92,117.39,-0.02,0.0,31.3,2
1.95,19.89,8.06,0.12,-3.35,0.0,-0.31,117.28,-0.02,0.0,31.3,2
2.0,20.29,8.23,0.12,-3.32,0.0,-0.31,117.5,-0.02,0.0,31.3,2
2.05,19.89,8.4,0.13,-3.32,0.0,0.0,117.39,-0.02,0.0,31.3,2
2.1,20.29,8.56,0.12,-3.32,0.0,-0.31,117.39,-0.02,0.0,31.2,2
2.15,19.99,8.73,0.12,-3.35,0.0,0.61,117.28,-0.02,0.0,31.2,2
2.2,20.19,8.9,0.11,-3.32,0.0,-0.31,117.39,-0.02,0.0,31.3,2
2.25,20.49,9.07,0.12,-3.32,0.0,0.0,117.39,-0.02,0.0,31.3,2
2.3,19.8,9.23,0.12,-3.29,0.0,-0.61,117.39,-0.02,0.0,31.3,2
2.35,20.59,9.4,0.12,-3.32,0.0,0.0,117.28,-0.02,0.0,31.3,2
2.4,19.8,9.57,0.12,-3.32,-0.95,0.0,117.17,-0.02,0.0,31.4,2
2.45,20.49,9.74,0.12,-3.38,-0.95,0.0,117.28,-0.02,0.0,31.4,2
2.5,20.09,9.91,0.12,-3.41,0.0,-0.31,117.39,-0.02,0.0,31.2,2
2.55,19.8,10.08,0.12,-3.38,0.0,0.0,117.39,-0.02,0.0,31.2,2
2.6,20.29,10.25,0.12,-3.38,0.95,-0.31,117.39,-0.02,0.0,31.5,2
2.65,19.99,10.42,0.12,-3.35,0.0,0.31,117.28,-0.02,0.0,31.2,2
2.7,19.7,10.59,0.12,-3.35,0.0,0.31,117.28,-0.02,0.0,31.2,2
2.75,20.29,10.76,0.12,-3.32,0.0,-0.31,117.39,-0.02,0.0,31.2,2
2.8,19.3,10.93,0.12,-3.32,0.0,0.31,117.28,-0.02,0.0,31.4,2
2.85,20.59,11.1,0.12,-3.35,0.0,0.0,117.28,-0.02,0.0,31.5,2
2.9,19.89,11.27,0.12,-3.41,0.0,-0.31,117.28,-0.02,0.0,31.4,2
2.95,19.7,11.44,0.11,-3.41,0.0,-0.92,117.28,-0.02,0.0,31.3,2
3.0,20.49,11.61,0.12,-3.44,0.0,-0.61,117.28,-0.02,-0.64,31.3,2
3.05,20.29,11.78,0.12,-3.38,0.0,-0.31,117.28,-0.02,-0.64,31.1,2
3.1,19.6,11.95,0.12,-3.38,0.0,0.0,117.39,-0.02,-0.64,31.4,2
3.15,20.59,12.12,0.12,-3.35,0.0,0.31,117.28,-0.02,-0.64,31.3,2
3.2,21.69,12.29,0.11,-3.38,0.0,0.31,117.28,-0.02,-0.64,31.3,2
3.25,19.0,12.48,0.12,-3.8,0.0,-0.31,117.28,-0.02,-0.64,31.3,2
3.3,17.71,12.65,0.12,-3.26,0.0,0.0,117.39,-0.02,-0.64,31.4,2
